gene1,gene2,neighborhood,fusion,cooccurence,homology,coexpression,experimental,knowledge,textmining,combined_score,node1_stringid,node2_stringid,node1,node2
Cenpa,Cad,0.0,0.0,0.0,0.0,0.63,0.072,0.9,0.814,0.992,string:10090.ENSMUSP00000079851,string:10090.ENSMUSP00000022227,Cenpi,Cenpk
Grpel1,Tomm7,0.0,0.0,0.0,0.0,0.145,0.0,0.9,0.135,0.919,string:10090.ENSMUSP00000031099,string:10090.ENSMUSP00000030851,Grpel1,Tomm7
Adra2c,Htr5a,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.122808,0.911,string:10090.ENSMUSP00000059705,string:10090.ENSMUSP00000038884,Adra2c,Htr5a
Grpel1,Dnajb6,0.454,0.0,0.0,0.0,0.444,0.27,0.0,0.428,0.856,string:10090.ENSMUSP00000031099,string:10090.ENSMUSP00000008733,Grpel1,Dnajb6
Abcb8,Abcf2,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.676,0.687,string:10090.ENSMUSP00000072826,string:10090.ENSMUSP00000030795,Abcb8,Abcf2
Ift172,Mapre3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.668,string:10090.ENSMUSP00000049335,string:10090.ENSMUSP00000031058,Ift172,Mapre3
Mrpl33,Tomm7,0.0,0.0,0.0,0.0,0.386,0.0,0.0,0.472,0.662,string:10090.ENSMUSP00000031024,string:10090.ENSMUSP00000030851,Mrpl33,Tomm7
Ift172,Shh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.62,string:10090.ENSMUSP00000049335,string:10090.ENSMUSP00000001562,Ift172,Tulp3
Eif2b4,Snx17,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.55,0.588,string:10090.ENSMUSP00000110250,string:10090.ENSMUSP00000031029,Eif2b4,Snx17
Slc4a1ap,Gtf3c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.571,string:10090.ENSMUSP00000110179,string:10090.ENSMUSP00000085325,Slc4a1ap,Gtf3c2
Mrpl33,Rbks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.551,string:10090.ENSMUSP00000031024,string:10090.ENSMUSP00000031018,Mrpl33,Rbks
Yes1,Ctbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551,0.551,string:10090.ENSMUSP00000025271,string:10090.ENSMUSP00000023356,Pou5f1,Snai2
Eif2b4,Gtf3c2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545,0.545,string:10090.ENSMUSP00000110250,string:10090.ENSMUSP00000085325,Eif2b4,Gtf3c2
Eif2b4,Slc4a1ap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.537,string:10090.ENSMUSP00000110250,string:10090.ENSMUSP00000110179,Eif2b4,Slc4a1ap
Htr5a,Htt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.536,string:10090.ENSMUSP00000038884,string:10090.ENSMUSP00000021195,Htr5a,Slc6a4
Eif2b4,Gpn1,0.0,0.0,0.0,0.0,0.142,0.0,0.0,0.476,0.531,string:10090.ENSMUSP00000110250,string:10090.ENSMUSP00000076217,Eif2b4,Gpn1
Eif2b4,Nrbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528,0.528,string:10090.ENSMUSP00000110250,string:10090.ENSMUSP00000031034,Eif2b4,Nrbp1
